S1,ST,S1_conf,ST_conf,names,Response,Method,ST-S1,Year
0.001212255241211727,0.002531564522787355,0.0279797668336212,0.06458596395257642,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,Top_respiration,fast,0.0013193092815756281,2003
0.0020600317468096466,0.005158821350088494,0.0298752308132528,0.06243386765668648,[Maize].Phenology.GrainFilling.Target.FixedValue,Top_respiration,fast,0.0030987896032788472,2003
0.0004879311542600789,0.0014727585497624762,0.029216309755503718,0.061551847483044216,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,Top_respiration,fast,0.0009848273955023973,2003
0.01403435073962392,0.01853471508340032,0.036854706333094296,0.061519026033442746,[Maize].Grain.MaximumGrainsPerCob.FixedValue,Top_respiration,fast,0.004500364343776401,2003
8.122606061718338e-06,0.0006586480496761915,0.03534793738794404,0.06911361992854642,[Maize].Root.SpecificRootLength.FixedValue,Top_respiration,fast,0.0006505254436144732,2003
1.9401514995059882e-05,0.000881780956457745,0.033450828141469886,0.0631140659965901,[Maize].Phenology.Maturing.Target.FixedValue,Top_respiration,fast,0.0008623794414626851,2003
0.335511987598332,0.850130615108599,0.038136491823048124,0.06606031469106316,[Maize].Leaf.Photosynthesis.RUE.FixedValue,Top_respiration,fast,0.514618627510267,2003
0.06340015545249376,0.08829600223357414,0.03631475030606382,0.06723753995857826,[Maize].Grain.MaximumPotentialGrainSize.FixedValue,Top_respiration,fast,0.02489584678108038,2003
0.00024358697902617844,0.002059350466981247,0.03134155610505783,0.05927677821883933,[Maize].Grain.MaximumNConc.InitialPhase.InitialNconc.FixedValue,Top_respiration,fast,0.0018157634879550685,2003
0.0001259524087519566,0.0042616561569917,0.02943975594824012,0.06485840548279338,[Maize].Phenology.MaturityToHarvestRipe.Target.FixedValue,Top_respiration,fast,0.004135703748239744,2003
0.12834223154056618,0.4975576702462694,0.033311514887039435,0.06185975488149093,[Maize].Phenology.Juvenile.Target.FixedValue,Yield,fast,0.3692154387057032,2004
0.013230710176074788,0.021775103459242495,0.030469686445683215,0.060812477977916196,[Maize].Phenology.FlagLeafToFlowering.Target.FixedValue,Yield,fast,0.008544393283167707,2004
0.024215501506362085,0.04010067578281307,0.037478435066561074,0.06063705197278262,[Maize].Phenology.FloweringToGrainFilling.Target.FixedValue,Yield,fast,0.015885174276450982,2004
0.011895263213085306,0.04254845804861307,0.029315040054320694,0.053394605187571734,[Maize].Phenology.GrainFilling.Target.FixedValue,Yield,fast,0.030653194835527763,2004
0.0003177470385810062,0.003660115663038921,0.03668068069897502,0.048144437071542125,[Maize].Cob.DMDemands.Structural.DMDemandFunction.MaximumOrganWt.FixedValue,Yield,fast,0.0033423686244579147,2004
0.08946740770549638,0.1487645614929597,0.031384809613356705,0.07219923331474681,[Maize].Grain.MaximumGrainsPerCob.FixedValue,Yield,fast,0.05929715378746331,2004
0.0001271947777947368,0.002737919460658045,0.03270778591567331,0.06435416988965324,[Maize].Root.SpecificRootLength.FixedValue,Yield,fast,0.002610724682863308,2004
